name,sex,total
מוחמד,M,130505
יוסף,M,107794
דוד,M,97334
משה,M,78738
אברהם,M,70968
שרה,F,65456
יעקב,M,65210
מרים,F,63430
דניאל,M,62429
אסתר,F,59464
יצחק,M,59198
רחל,F,59180
יעל,F,53285
נועה,F,52994
מיכאל,M,52726
מיכל,F,50163
אחמד,M,49659
אורי,M,47699
תמר,F,47192
חנה,F,46748
מאיה,F,45831
עומר,M,45560
חיים,M,45225
נועם,M,42517
רבקה,F,42472
ישראל,M,41911
שירה,F,40868
שלמה,M,40851
יהודה,M,40086
איתי,M,40054
שמואל,M,37640
אריאל,M,37350
שמעון,M,36492
מאיר,M,33984
אליהו,M,33311
עדי,F,32394
מרדכי,M,31755
יהונתן,M,31387
אמיר,M,31243
יונתן,M,30994
רפאל,M,30646
אהרון,M,30243
אדם,M,30093
חיה,F,29934
גיא,M,29763
איתן,M,29528
רות,F,28787
רועי,M,28673
לאה,F,28047
אלכסנדר,M,27982
יאיר,M,27382
טליה,F,27265
איילה,F,27067
עידו,M,27047
הילה,F,26703
אלון,M,26645
אלה,F,26407
עמית,M,26107
אביגיל,F,25912
שי,M,25894
עבד,M,24810
מחמוד,M,24807
ליאור,M,24544
בנימין,M,24368
אייל,M,24081
עדן,F,23307
יובל,M,23092
רוני,F,22928
אפרת,F,22731
יהודית,F,22664
נתנאל,M,22332
עלי,M,22238
אסף,M,21766
בן,M,21604
איתמר,M,21534
מעיין,F,21395
שושנה,F,21178
הודיה,F,21097
אור,M,20672
תומר,M,20604
אבראהים,M,20480
עידן,M,20208
נעמי,F,19879
שני,F,19808
מלכה,F,19600
מנחם,M,19576
דבורה,F,19019
טל,M,19012
קרן,F,18422
ליאן,F,18328
טל,F,17960
ענת,F,17603
יובל,F,17507
נעמה,F,17361
דנה,F,17205
רון,M,17179
יואב,M,17149
צבי,M,17051
עומרי,M,16933
נדב,M,16712
שלום,M,16709
הדר,F,16681
פאטמה,F,16564
ניר,M,16524
שיר,F,16407
תהילה,F,16208
מתן,M,16130
אילן,M,16111
שחר,M,16081
אריה,M,16074
ליה,F,15945
אנה,F,15815
נתן,M,15633
אילנה,F,15612
אדל,F,15579
נויה,F,15276
לביא,M,15234
הדס,F,15189
אליה,M,15087
צפורה,F,15073
דן,M,14915
אורן,M,14841
מאור,M,14754
גבריאל,M,14513
יסמין,F,14499
אלעד,M,14497
אורית,F,14419
אורלי,F,14176
הראל,M,14120
יניב,M,14071
אלי,M,13970
אופיר,M,13958
נטע,F,13916
שרון,F,13737
נגה,F,13697
איה,F,13625
ח'אלד,M,13583
חן,F,13458
מירב,F,13378
רונית,F,13295
דניאל,F,13264
אביב,M,13225
יפה,F,13189
ליאת,F,13146
אירינה,F,13131
רומי,F,13051
גל,M,12975
נועם,F,12945
ישי,M,12773
עמית,F,12674
נטלי,F,12657
רותם,F,12634
עופר,M,12343
גיל,M,12330
הדסה,F,12285
נהוראי,M,12236
אגם,F,12217
ניסים,M,12139
מאי,F,12119
ילנה,F,12071
יהושע,M,11693
אור,F,11639
מוריה,F,11617
אבי,M,11606
שולמית,F,11600
נחמה,F,11495
אריאל,F,11443
ראובן,M,11431
שחר,F,11413
דליה,F,11404
ברכה,F,11383
מזל,F,11327
אשר,M,11319
מיטל,F,11309
פנחס,M,11294
דינה,F,11191
דור,M,11112
ארי,M,11101
רונן,M,11089
מלאק,F,11088
אליעזר,M,11039
ליאור,F,10964
ארז,M,10959
איריס,F,10899
נור,F,10858
מרינה,F,10831
מורן,F,10752
ערן,M,10722
אביטל,F,10673
גלית,F,10672
מריה,F,10622
ספיר,F,10622
ליאל,F,10611
שקד,F,10567
סיון,F,10555
עילאי,M,10487
עלמה,F,10443
רעות,F,10404
דורון,M,10399
אמל,F,10372
חוה,F,10343
בוריס,M,10255
ירון,M,10245
ליאם,M,10242
לימור,F,10234
אוריה,F,10183
ברוך,M,10055
פנינה,F,10038
אלישבע,F,9993
גלעד,M,9989
סולימאן,M,9985
רן,M,9895
חסן,M,9801
אפרים,M,9769
תהל,F,9763
ליבי,F,9732
אמה,F,9633
שרית,F,9597
