name,sex,sector,total
מוחמד,M,Muslim,129792
דוד,M,Jewish,97218
יוסף,M,Jewish,81906
משה,M,Jewish,78676
אברהם,M,Jewish,70846
יעקב,M,Jewish,65203
דניאל,M,Jewish,61351
שרה,F,Jewish,60712
אסתר,F,Jewish,59404
יצחק,M,Jewish,59198
רחל,F,Jewish,59083
יעל,F,Jewish,53269
נועה,F,Jewish,52967
מיכאל,M,Jewish,52531
מיכל,F,Jewish,50148
אחמד,M,Muslim,49326
אורי,M,Jewish,47687
תמר,F,Jewish,46807
חנה,F,Jewish,46597
מרים,F,Jewish,46001
חיים,M,Jewish,45212
מאיה,F,Jewish,44003
נועם,M,Jewish,42506
רבקה,F,Jewish,42314
ישראל,M,Jewish,41899
שירה,F,Jewish,40836
שלמה,M,Jewish,40824
יהודה,M,Jewish,40061
איתי,M,Jewish,40054
שמואל,M,Jewish,37625
אריאל,M,Jewish,37350
שמעון,M,Jewish,36481
מאיר,M,Jewish,33969
אליהו,M,Jewish,33301
עדי,F,Jewish,32381
מרדכי,M,Jewish,31755
יהונתן,M,Jewish,31381
יונתן,M,Jewish,30957
רפאל,M,Jewish,30570
אהרון,M,Jewish,30183
חיה,F,Jewish,29901
גיא,M,Jewish,29758
איתן,M,Jewish,29501
רות,F,Jewish,28751
רועי,M,Jewish,28673
לאה,F,Jewish,27989
אלכסנדר,M,Jewish,27893
יאיר,M,Jewish,27382
עידו,M,Jewish,27041
טליה,F,Jewish,26934
אלון,M,Jewish,26628
הילה,F,Jewish,26527
אלה,F,Jewish,26407
איילה,F,Jewish,26130
עמית,M,Jewish,26066
אביגיל,F,Jewish,25907
שי,M,Jewish,25878
עומר,M,Jewish,25686
עבד,M,Muslim,24695
מחמוד,M,Muslim,24558
ליאור,M,Jewish,24519
בנימין,M,Jewish,24284
יובל,M,Jewish,23087
אייל,M,Jewish,23016
רוני,F,Jewish,22928
אפרת,F,Jewish,22726
יוסף,M,Muslim,22690
יהודית,F,Jewish,22659
נתנאל,M,Jewish,22325
אסף,M,Jewish,21705
בן,M,Jewish,21560
איתמר,M,Jewish,21534
מעיין,F,Jewish,21338
עלי,M,Muslim,21238
שושנה,F,Jewish,21100
הודיה,F,Jewish,21079
אור,M,Jewish,20649
תומר,M,Jewish,20503
עידן,M,Jewish,20159
נעמי,F,Jewish,19844
שני,F,Jewish,19795
עומר,M,Muslim,19671
מלכה,F,Jewish,19600
מנחם,M,Jewish,19576
אבראהים,M,Muslim,19527
דבורה,F,Jewish,19014
טל,M,Jewish,18996
קרן,F,Jewish,18405
עדן,F,Jewish,18005
טל,F,Jewish,17945
יובל,F,Jewish,17507
ענת,F,Jewish,17403
יואב,M,Jewish,17141
צבי,M,Jewish,17051
רון,M,Jewish,17020
נדב,M,Jewish,16702
שלום,M,Jewish,16701
הדר,F,Jewish,16675
מרים,F,Muslim,16662
ניר,M,Jewish,16490
שיר,F,Jewish,16400
פאטמה,F,Muslim,16346
תהילה,F,Jewish,16208
מתן,M,Jewish,16125
שחר,M,Jewish,16075
אריה,M,Jewish,16069
אילן,M,Jewish,15948
נעמה,F,Jewish,15681
נתן,M,Jewish,15633
דנה,F,Jewish,15600
אנה,F,Jewish,15542
אדל,F,Jewish,15443
ליה,F,Jewish,15417
אילנה,F,Jewish,15347
נויה,F,Jewish,15250
לביא,M,Jewish,15234
הדס,F,Jewish,15176
צפורה,F,Jewish,15068
אליה,M,Jewish,15017
אורן,M,Jewish,14834
מאור,M,Jewish,14745
אמיר,M,Jewish,14702
דן,M,Jewish,14638
אדם,M,Muslim,14630
עומרי,M,Jewish,14506
אלעד,M,Jewish,14497
אורית,F,Jewish,14414
גבריאל,M,Jewish,14351
אורלי,F,Jewish,14158
הראל,M,Jewish,14120
יניב,M,Jewish,14007
אופיר,M,Jewish,13958
נטע,F,Jewish,13916
אדם,M,Jewish,13769
שרון,F,Jewish,13704
נגה,F,Jewish,13684
אמיר,M,Muslim,13678
אלי,M,Jewish,13638
חן,F,Jewish,13450
מירב,F,Jewish,13326
ח'אלד,M,Muslim,13307
דניאל,F,Jewish,13235
אביב,M,Jewish,13209
רונית,F,Jewish,13142
ליאת,F,Jewish,13141
אירינה,F,Jewish,13075
רומי,F,Jewish,13030
גל,M,Jewish,12968
נועם,F,Jewish,12863
ישי,M,Jewish,12773
עמית,F,Jewish,12674
יפה,F,Jewish,12654
רותם,F,Jewish,12634
גיל,M,Jewish,12325
עופר,M,Jewish,12320
הדסה,F,Jewish,12285
נהוראי,M,Jewish,12236
אגם,F,Jewish,12217
ניסים,M,Jewish,12134
ילנה,F,Jewish,12020
נטלי,F,Jewish,11791
יהושע,M,Jewish,11693
אור,F,Jewish,11621
מוריה,F,Jewish,11611
שולמית,F,Jewish,11600
אבי,M,Jewish,11552
נחמה,F,Jewish,11495
אריאל,F,Jewish,11443
ראובן,M,Jewish,11425
שחר,F,Jewish,11405
ברכה,F,Jewish,11351
אשר,M,Jewish,11307
פנחס,M,Jewish,11294
מיטל,F,Jewish,11286
מזל,F,Jewish,11250
דינה,F,Jewish,11191
דור,M,Jewish,11112
ארי,M,Jewish,11101
אליעזר,M,Jewish,11039
ליאור,F,Jewish,10964
רונן,M,Jewish,10886
איריס,F,Jewish,10874
אביטל,F,Jewish,10668
מרינה,F,Jewish,10661
גלית,F,Jewish,10661
ליאן,F,Jewish,10639
ערן,M,Jewish,10639
ספיר,F,Jewish,10611
מורן,F,Jewish,10586
שקד,F,Jewish,10567
